,Song,Approximate Neighbours
0,1random-2-A,0
1,1random-4-D,0
2,random-10-B,0
3,random-11-E,0
4,random-12-G,0
5,random-17-G,0
6,random-19-D,3
7,random-20-A,5
8,random-7-A,1
9,random-9-E,0
