,Song,Trills,Percentage
0,random-1-G.txt.mid,30,0.53
1,random-11-A.txt.mid,27,0.48
2,random-12-A.txt.mid,23,0.4
3,random-13-A.txt.mid,22,0.4
4,random-14-C.txt.mid,28,0.5
5,random-19-G.txt.mid,27,0.47
6,random-21-C.txt.mid,21,0.38
7,random-3-C.txt.mid,29,0.52
8,random-4-A.txt.mid,31,0.56
9,random-7-A.txt.mid,24,0.42
