,Song,Trills,Percentage
0,new-A.mid,18,0.33
1,new-D.mid,26,0.47
2,random-1-A.txt.mid,27,0.49
3,random-12-A.txt.mid,22,0.42
4,random-13-A.txt.mid,24,0.44
5,random-15-A.txt.mid,16,0.27
6,random-17-A.txt.mid,28,0.5
7,random-4-A.txt.mid,22,0.39
8,random-5-D.txt.mid,30,0.53
9,random-9-E.txt.mid,16,0.28
