,Song,Trills,Percentage
0,1random-2-A.txt.mid,13,0.24
1,1random-4-D.txt.mid,0,0.0
2,random-10-B.txt.mid,15,0.26
3,random-11-E.txt.mid,0,0.0
4,random-12-G.txt.mid,6,0.09
5,random-17-G.txt.mid,0,0.0
6,random-19-D.txt.mid,8,0.11
7,random-20-A.txt.mid,6,0.09
8,random-7-A.txt.mid,19,0.34
9,random-9-E.txt.mid,18,0.31
